element_id,en,cn
label_sessionSolution,"Session Shares","提交"
label_allTimeSolution,"Shares All Time","全部提交数"
label_totalHR,"Total Hashrate","总算力"
label_avgHR,"Avg Hashrate","平均算力"
label_networkDiff,"Network Diff","网络难度"
label_shareDiff,"Share Diff","矿池难度"
miningMode,"Mining Settings","矿池设置"
darkLightMode,"Dark Mode|Light Mode","夜间模式|亮模式"
label_poolDetails,"Enter Mining Pool Details","矿池配置信息"
label_poolProvider,"Mining Pool","矿池"
label_other,"other","其他"
advancedPoolSettings,"advanced|custom pool settings","高級|自定义设置"
label_stratumHost,"Pool Stratum Custom Host","主机"
label_stratumPort,"Pool Stratum Custom Port","端口"
label_miningUser,"Mining User","用户名"
label_miningPass,"Mining Password","密码"
label_savePool,"Save Mining Pool Details","保存矿池详细信息"
label_escHide,"[ESC to hide]","[按ESC键隐藏]"
label_rawLogs,"Raw Miner Logs:","原始矿机日志"
label_hideLogs,"Hide","隐藏"
text.hashrate,"Hashrate","算力"
text.workers,"Worker","旷工"
text.temp,"Temperature","温度"
text.fan,"Fan RPM","风扇转速"
